user,tweet
The Saffronist 🇮🇳🧡,"@Andh_bhakto @awokeindiann @vivekagnihotri BJP mein vote hi do logo ke naam par padhte hain, modiji amit Shah. Leki… https://t.co/NHvlAIW87I"
Pria 👩♀,"@kaushik022 @AamAadmiParty ROFL, yeah Delhi voted on work and not religion I know now..!! :) ... Umeed se zyada hi… https://t.co/OqvLr9iker"
Shailesh Arun Zarekar,"@AamAadmiParty @AAPOverseas They are overjoyed because congress is vanished in Delhi........no tension of DYNASTY for BJP 
in 2024"
Madhuvanthi Srinivasan | مدهوونتی شرینیوسن,"Full disclosure- As an elated, excited first-time voter in the 2014 general elections, I'd voted for AAP in Mumbai.… https://t.co/8Ndv2q6K2i"
Anand yadav,@Vaibhav45971816 Ha Bhai baniya toh h tbhi toh CAG ki report m previous 5yr se Delhi profit m h yuhi thodi na JC.of… https://t.co/13HVIu073y
Republic,#VadrasFinishCongress | The Delhi Election was between AAP and BJP. Losing and winning is all a part: Danish Quresh… https://t.co/igEB6OPoYM
Shadab Siddiqui,"Aam Aadmi Party's (AAP) Atishi has won from Kalkaji assembly constituency with a margin of 11,393 votes. Arvind Kej… https://t.co/f4TCupv1YJ"
GANESH C DEVULAPALLI,"No TV debate or reporter called out, my take on BJP losing vote share in Delhi is because of a pathetic budget BJP… https://t.co/GD279HRiQf"
Capt.Ray,@IndiaToday Yes Aroon porie is trying hard to promote delhi mayor to become PAN india leader!!
Supriya Yadav,I hope they will stand up against hate and crime against Delhites especially Delhi students @AamAadmiParty #AAPKiDilli
Vipul K Aggarwal,"As a Delhi citizen, I urge you to please increase your efforts in improving the conditions of Delhi corporation oth… https://t.co/sryCY69hdg"
Press Trust of India,"Delhi Assembly polls final results: AAP wins 62 seats, BJP 8"
kapil kumar,@RahulGandhi Kya hua rahul baba apko pata chal gya na congress ko kya mielta hai delhi mein zero so congress zero. Hai hero nhi
Zoraa,@TheUpadhyaya @mea_gulpa Mishra ji wahi kar rahe hain Delhi me jo Akali Dal waale Punjab me karte hain.
SHAN MOHD,@msisodia Bahut bahut Mubarakbad Manish sir....ab Delhi k schools me students aur teachers k ratio pe focus kijiye… https://t.co/6JttynyovW
Vikas Verma 🇮🇳,"@GautamGambhir Watching Delhi's Poll results...reminded of a quote by Chetan Bhagat...

""A population that votes on… https://t.co/YKQw3KDf3T"
Womensweb.in,"Yes, #DelhiElections are over now, but the point here is - only 27 women among the 210 candidates! Is women’s parti… https://t.co/oCCPagzKdR"
बासुरीवाला 🌍,"मुफ्तखोर , भिखारी delhi

#DelhiResults"
