user,tweet
Maharashtra Times,"केजरीवाल यांच्या मंत्रिमंडळात बदल नाही, सर्व सात मंत्री पुन्हा शपथ घेणार
https://t.co/PzzSBBn5rk #ArvindKejriwal #DelhiElections2020"
Raman Kumar Mandal,@LambaAlka Alka ji is only hope for Congress in Delhi.
King Honey,"@kushwahPooja19 Delhi me, waha k log smj hi nhi paye ki free ka lollypop dekr unko thaga gya h, bewkuf or bujdil Hi… https://t.co/icC4BF8doD"
Er Rajesh,"Delhi to bihar
#Jai_bharat https://t.co/vcz5hxQr2J"
Krishna Dev Pandey,NBT: केजरीवाल की गुप्त टीम: बंपर जीत के पीछे है इन 6 का दिमाग  https://t.co/nzRZrwYN7Q
Ganesh,@Amritapandeyy Only delhi kejriwal party
Sheik mohamed,Convicts succeeded in their mission of dilly dallying their death sentence with one pretext or another.  - https://t.co/nAhOsN5xcj
हम देगें आजादी,"Big question❓❓❓ India is secular Or communist... Think JNU protest start frm fees  to  free kashmir.. 
Sharjeal ima… https://t.co/yvHo3LT7sW"
Amarendra Sharan,"@gauravbh I was in desperate look out for your blackened face yesterday to comment on Delhi election result, but yo… https://t.co/A4DpslDVM7"
Mahesh,"@CNNnews18 @AnchorAnandN disagree with the hashtag 'Congress Crumbling'...stop misleading your viewers..yes, Delhi… https://t.co/xV4400HynI"
Optimist,@MirrorNow @tanvishukla @AnilaSingh_BJP Ask Delhi CM....he got their votes....Leaders r supposed2leverage der mass… https://t.co/74xko7b3SK
nikhil jain,@ArvindKejriwal kya tere baap ka paisa hai jo sab kuch free mein baant raha hai.. this is tax money of delhi people… https://t.co/D0iur1pp18
Rohith Simha,"Nothing worked in delhi, so focus shifts to Assam. Why don't you ask our CM to take similar bold move in Karnataka? https://t.co/F8MhA6XxRQ"
Meron,"big tits four , asian roots delhi spa , philadelphia gay pride 2018. I will give a link for a free VIP!"
Kumar Sanan Alias Sunny Kumar Yadav,"दिल्ली हार के बाद मनोज तिवारी ने की इस्तीफे की पेशकश, BJP हाईकमान ने दिया ये जवाब - Delhi election result 2020 bjp… https://t.co/MRnNjOfhdS"
Alchemist LIVE,"#Delhi - Anoushka Shankar’s Love Letters is all set to stir your heart in two days. 
Book your tickets, if you have… https://t.co/7CsdyeT7Mh"
Sharma S,"We need to adopt tribal lifestyle, do away with big cities &amp; develop rural green zones in Delhi with minimal eco-fr… https://t.co/3BAEfrsSPe"
IndSamachar,"BJP stalwarts gave their best. Did 7 BJP MPs of Delhi fought like warriors in Kurukshetra of Delhi? 

Smriti Irani… https://t.co/yTEVFIktNK"
देवेंद्र यादव (Dev),"इसको कहते हैं ""ज़ोर का झटका.. धीरे से लगना"" !!!😂 https://t.co/uqWr1ezRde"
Technology Shout,Seventh Delhi Legislative Assembly established https://t.co/qwMc8PQLsm https://t.co/Krhz2AsYYn
Shreya Singh,@faisalkhnn @Patel55400158 @SatyajeetSatya7 @ManojTiwariMP @ArvindKejriwal Jaha tk baat kejriwal ki hai to maine un… https://t.co/z6CNrjbMRC
KAKumar,#HowMuchFree - Ask all government employees in Delhi to work for free ..Will they ? Ashwin Nallari Naidu from Rampally Hyderabad
The Federal,"After the grand old party of India sank without a trace at the recently concluded #DelhiPolls, Congress leader… https://t.co/LcD2Si2PC8"
H Chandrasekhar,@milinddeora @INCIndia Sheila Dixit did more for Delhi and congress party in one lifetime than what the likes of Ch… https://t.co/t0WZY2GEHz
Srivathsa Kalale Nadaddur,#howmuchfree BJP committed a tactical blunder in Delhi elections. They should have announced the following allowanc… https://t.co/p9gdx6wTsf
Ezhno Mahkah,@Sirensongs :)) who won delhi elections as per exit poll
Gaurav Singh Raikwar,@msisodia will be a better CM for Delhi than @ArvindKejriwal.
Newsroom Post,"#DelhiAssemblyElections2020  देखिये आपके सीट से कौन जीता और कितने वोट से जीता - दिल्ली की कहानी 

Check who has won… https://t.co/WIjmnmkISb"
